scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo
50HzT-003,29300,33678,34267.0,,AC,22.368120800000003,2.492,0,,1790,t,1790,inf,1,2023,40,62150.83798882681,89.0,6,1,2,-inf,inf,380.0,010200000002000000F76CE8F3996B2B4009D1691102454A403E5B785040892C40F072C2358D8C4A40,010200000002000000F76CE8F3996B2B4009D1691102454A403E5B785040892C40F072C2358D8C4A40
50HzT-003,29301,34267,31612.0,,AC,7.7911432,0.868,0,,1790,t,1790,inf,1,2023,40,43296.08938547486,31.0,3,1,1,-inf,inf,380.0,0102000000020000003E5B785040892C40F072C2358D8C4A402ECD293FFEE92B40A13AD44C47A04A40,0102000000020000003E5B785040892C40F072C2358D8C4A402ECD293FFEE92B40A13AD44C47A04A40
50HzT-007,29302,33678,31373.0,,AC,18.84954,2.1,0,,1790,t,1790,inf,1,2022,40,104748.6033519553,75.0,3,1,1,-inf,inf,380.0,010200000002000000F76CE8F3996B2B4009D1691102454A4014D12438D6E229403969AA2602484A40,010200000002000000F76CE8F3996B2B4009D1691102454A4014D12438D6E229403969AA2602484A40
50HzT-P34,29303,32614,31846.0,,AC,16.084940800000002,1.792,0,,1790,t,1790,inf,1,2028,40,89385.47486033519,64.0,3,1,1,-inf,inf,380.0,010200000002000000B126B8F965B42740F703470F1E8B4A40334D63EE7B74274097CEED40C9484A40,010200000002000000B126B8F965B42740F703470F1E8B4A40334D63EE7B74274097CEED40C9484A40
50HzT-P34,29304,31846,31318.0,,AC,9.2991064,1.036,0,,1790,t,1790,inf,1,2023,40,51675.977653631286,37.0,3,1,1,-inf,inf,380.0,010200000002000000334D63EE7B74274097CEED40C9484A40A8E8C3F2C34727408E3E75646E224A40,010200000002000000334D63EE7B74274097CEED40C9484A40A8E8C3F2C34727408E3E75646E224A40
50HzT-P34,29305,32985,32614.0,,AC,9.2991064,1.036,0,,1790,t,1790,inf,1,2023,40,51675.977653631286,37.0,3,1,1,-inf,inf,380.0,0102000000020000006A7910FC30A02740F716B47E59B64A40B126B8F965B42740F703470F1E8B4A40,0102000000020000006A7910FC30A02740F716B47E59B64A40B126B8F965B42740F703470F1E8B4A40
50HzT-P34,29306,31759,32985.0,,AC,13.3203416,1.484,0,,1790,t,1790,inf,1,2026,40,74022.34636871508,53.0,3,1,1,-inf,inf,380.0,01020000000200000070709471215F2840A5351E9E73E84A406A7910FC30A02740F716B47E59B64A40,01020000000200000070709471215F2840A5351E9E73E84A406A7910FC30A02740F716B47E59B64A40
50HzT-P36,29307,31612,35283.0,,AC,8.042470400000001,0.896,0,,1790,t,1790,inf,1,2026,40,44692.7374301676,32.0,3,1,1,-inf,inf,380.0,0102000000020000002ECD293FFEE92B40A13AD44C47A04A4089C007183F112C4033455E84F6C04A40,0102000000020000002ECD293FFEE92B40A13AD44C47A04A4089C007183F112C4033455E84F6C04A40
50HzT-P38,29308,34958,33754.0,,AC,26.389356000000003,2.94,0,,1790,t,1790,inf,1,2025,40,146648.04469273743,105.0,3,1,1,-inf,inf,380.0,0102000000020000006BAC91B3C2AC28401574634236994940718416231A3F26405CA54CC4CA7F4940,0102000000020000006BAC91B3C2AC28401574634236994940718416231A3F26405CA54CC4CA7F4940
50HzT-P39,29309,30952,34084.0,,AC,16.587595200000003,1.848,0,,1790,t,1790,inf,1,2025,40,92178.77094972068,66.0,3,1,1,-inf,inf,380.0,010200000002000000186FA57D52A12940737B6E89E96D4940FDD015A549172840A97D34F9F5634940,010200000002000000186FA57D52A12940737B6E89E96D4940FDD015A549172840A97D34F9F5634940
