scn_name,Projekt,Projekt_id,Maßnahme,Startpunk,Endpunkt,Spannung,s_nom,cables,NOVA-Typ,Art,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,Trassenlänge in km,,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,,,,Anmerkung
50HzT- P180,,,,Charlottenburg,Reuter,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BE,NV,,,,,28,2030,"1: Vorbereitung Planungs- und Ge- nehmigungsverfahren, 3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,,,,
50HzT- P213,EnLAG,12,3. Interkonnektor DE – PL,DE,PL,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,BB,NA,x,,EnLAG Nr. 12,8,,2035,2: Im ROV/BFP,,,,,,,
50HzT- P213,EnLAG,12,2. Einschleifung Eisenhüttenstadt,Eisenhüttenstadt,Eisenhüttenstadt,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,BB,NA,,,EnLAG Nr. 12,7,,2035,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
50HzT- P221,BBP,69,DC-Kabel Hansa PowerBridge (HPB,DC-Kabel Hansa PowerBridge (HPB),,,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,MV,NA,x,,BBP Nr. 69,60,,"2025, 2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,HVDC
50HzT- P413,,,2. Einschleifung Klostermansfeld,Klostermansfeld,Klostermansfeld,,,,Errichtung einer Lei- tung: Parallelneubau,Leitung,ST,NV,,,,,1,2024,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
50HzT- P450,BBP,61,Ragow – Streumen,Ragow,Streumen,,,,horizontal,Leitung,"BB, SN",NO,,,BBP Nr. 61,,89,2022,4: Genehmigt oder im Bau,,,,,,,
AMP-001,EnLAG,2,Wehrendorf – St. Hülfe,Wehrendorf,Punkt Lemförde,380,2700,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,,,EnLAG Nr. 2,,33,2023,4: Genehmigt oder im Bau,,,,,,,4000A
AMP-001,EnLAG,2,Wehrendorf – St. Hülfe,Punkt Lemförde, St. Hülfe,380/110,2700,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,,,EnLAG Nr. 2,,33,2023,4: Genehmigt oder im Bau,,,,,,,4000A
AMP-009,EnLAG,5,Niederrhein – Punkt Wettringen,Niederrhein,Wettringen,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,x,,EnLAG Nr. 5,,73,2023,"3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,,,,
AMP-009,EnLAG,5,Niederrhein – Punkt Wettringen (Kabel),Niederrhein,Wettringen (Kabel),380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,x,,EnLAG Nr. 5,,12,2023,4: Genehmigt oder im Bau,,,,,,,
AMP-009,EnLAG,5,Punkt Wettringen – Punkt Meppen,Wettringen,Meppen,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"NI, NW",NA,x,,EnLAG Nr. 5,65,,"2025,
2027","3: vor oder im PFV/ Genehmigung nach BImSchG
4: Genehmigt oder im Bau",,,,,,,
AMP-010,EnLAG,"16,18",Punkt Gaste – Lüstringen,Gaste,Lüstringen,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,NI,NV,,,"EnLAG Nr. 16,
18",,14,"2026,
2028",4: Genehmigt oder im Bau,,,,,,,
AMP-010,EnLAG,"16,18",Lüstringen – Wehrendorf,Lüstringen,Wehrendorf,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,,,"EnLAG Nr. 16,
18",,21,"2027,
2028",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
AMP-010,EnLAG,"16,18",Lüstringen – Hesseln,Lüstringen,Hesseln,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"NI, NW",NV,,,"EnLAG Nr. 16,
18",,29,"2026,
2027",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
AMP-010,EnLAG,"16,18",Hesseln – Gütersloh,Hesseln,Gütersloh,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 16,
18",,29,2021,4: Genehmigt oder im Bau,,,,,,,
AMP-014,EnLAG,"14,15",Punkt Fellerhöfe – Punkt St. Tönis,Punkt Fellerhöfe,Punkt St. Tönis,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",,7,2021,4: Genehmigt oder im Bau,,,,,,,
AMP-014,EnLAG,"14,15",Punkt St. Tönis – Punkt Hüls-West,Punkt St. Tönis,Punkt Hüls-West,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",,7,2021,4: Genehmigt oder im Bau,,,,,,,
AMP-014,EnLAG,"14,15",Utfort – Punkt Hüls-West,Utfort ,Punkt Hüls-West,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",,7,2021,4: Genehmigt oder im Bau,,,,,,,
AMP-014,EnLAG,"14,15",Osterath – Gohrpunkt,Osterath,Gohrpunkt,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",,7,2021,4: Genehmigt oder im Bau,,,,,,,
AMP-014,EnLAG,"14,15",Gohrpunkt – Rommerskirchen,Gohrpunkt,Rommerskirchen,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",,7,2021,4: Genehmigt oder im Bau,,,,,,,
AMP-014,EnLAG,"14,15",Utfort – Osterath,Utfort ,Osterath,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",,7,2021,4: Genehmigt oder im Bau,,,,,,,
AMP-014,EnLAG,"14,15",Punkt Birkenhof – Gellep,Punkt Birkenhof,Gellep,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",,7,2021,4: Genehmigt oder im Bau,,,,,,,
AMP-018,15,15,Rommerskirchen – Sechtem,Rommerskirchen,Sechtem,380,,3,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,15,,38,"2022,
2024",4: Genehmigt oder im Bau,,,,,,,"one existing, two new circuit"
AMP-022,EnLAG,19,"Kruckel –
Punkt Ochsenkopf",Kruckel,Ochsenkopf,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,EnLAG Nr. 19,,21,"2021/
2025,
2022/
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,new constructuion
AMP-022,EnLAG,19,Punkt Ochsenkopf – Dauersberg,Punkt Ochsenkopf,Dauersberg,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"NW, RP",NV,x,,EnLAG Nr. 19,,105,"2024/
2025,
2025/
2026","3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,,,,new constructuion
AMP-028,,,Punkt Wanne – Punkt Günnigfeld,Wanne,Günnigfeld,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,NW,NV,,,,,5,"2024,
2026",1: Vorbereitung Planungs- und Geneh- migungsverfahren,,,,,,,
AMP-028,,,Emscherbruch,Emscherbruch,Emscherbruch,380/110,,,für Dritte,Anlage,NW,NA,,,,,,2021,4: Genehmigt oder im Bau,,,,,,,
AMP-032,EnLAG,14,Niederrhein – Utfort,Niederrhein,Niederrhein,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,EnLAG Nr. 14,,21,"2025
(Provisorium)
/2030, 2026
(Provisorium)
/2031",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
AMP-P21,BBPIG,6,Regelzonengrenze TTG / AMP – Merzen,Regelzonengrenze TTG/AMP,Merzen,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"NI, NW",NA,x,,BBP Nr. 6,31,,"2026,
2027",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
AMP-P41,BBPIG,15,Punkt Metternich – Niederstedem,Metternich,Niederstedem,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,RP,NV,,,BBP Nr. 15,,105,2024,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
AMP-P47,BBPIG,19,"Urberach –
Pfungstadt – Weinheim",Urberach ,"Pfungstadt
",380,,,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer
Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,"HE, BW",NVA,x,,BBP Nr. 19,6,60,"2024,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
AMP-P47,BBPIG,19,"Urberach –
Pfungstadt – Weinheim","Pfungstadt
",Weinheim,380,,,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer
Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,"HE, BW",NVA,x,,BBP Nr. 19,6,60,"2024,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
AMP-P47a,BBPIG,76,Punkt Kriftel – Farbwerke Höchst-Süd,Punkt Kriftel, Farbwerke Höchst-Süd,380,,,"Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,HE,NV,,,BBP Nr. 76,,11,"2022,
2024",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
AMP-P52,BBPIG,24,Punkt Rommelsbach – Herbertingen,Rommelsbach,Herbertingen,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BW,NV,,,BBP Nr. 24,,61,2021,4: Genehmigt oder im Bau,,,,,,,
AMP-P52,BBPIG,25,Punkt Wullenstetten – Punkt Niederwangen,Wullenstetten,Niederwangen,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,"BY, BW",NV,x,,BBP Nr. 25,,88,"2023,
2024",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
AMP-P154,,,380 / 220-kV-Transfor- mator Siegburg,Siegburg,Siegburg,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,NW,NA,,,,1,,2023,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,"M356TR1, switchgear and tranfsformer "
AMP-P310,,,Bürstadt – Kühmoos,Bürstadt,Kühmoos,380,,,"Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,"HE,
RP, BW",NV,,,,,285,"2023,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,M485
