scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,start point test,Endpoint,End point test,Ausbau,Bestand,subst_name0,matching1%,matching2%,Coordinate0,subst_name1,Coordinate1,Voltage,s_nom.1,NOVA-Type,Comments
P135,29453,31136,31053,,AC,,,,,,,,,1,2031,40,,41.59725793,,,,,,,,,BBPIG,57,OvenstÃ¤dt,Ovenstädt,Eickum,Eickum,,60,Schaltanlage OvenstÃ¤dt,58.06,100,8.939692565631868 52.40303328706645,Eickum,8.571446947612305 52.10524367125356,41.59725793,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P135,29454,31053,,,AC,,,,,,,,,1,2031,40,,,,,,,,,,,BBPIG,57,Eickum,Eickum, Bechterdissen, Bechterdissen,,,Eickum,100,,8.571446947612305 52.10524367125356,,,13.25482769,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P150,29455,,34109,,AC,,,,,,,,,1,2029,40,,166.6371116,3,,,,,,,,BBPIG,44,Schraplau / Obhausen,Schraplau / Obhausen,Wolkramshausen,Wolkramshausen,,71,,,100,,Wolkramshausen,10.734669450629001 51.44018679015725,166.6371116,380,,Errichtung einer Leitung: Ersatz- neubau
P150,29456,34109,33754,,AC,,,,,,,,,1,2029,40,,56.15151428,3,,,,,,,,BBPIG,44,Wolkramshausen,Wolkramshausen,Vieselbach,Vieselbach,,66,Wolkramshausen,100,62.5,10.734669450629001 51.44018679015725,Umspannwerk Vieselbach,11.12324628496046 50.99837545149305,56.15151428,380,,Errichtung einer Leitung: Ersatz- neubau
P159,29457,33902,,,AC,,,,,,,,,1,2029,40,,,3,,,,,,,,BBPIG,67,BÃ¼rstadt,Bürstadt,Punkt Roxheim,BASF,5,13,Station BÃ¼rstadt,66.67,,8.419373160819056 49.63371907511068,,,191.3944585,380,,Errichtung einer Leitung: Par- allelneubau
P159,29458,,34001,,AC,,,,,,,,,1,2029,40,,11.71628356,3,,,,,,,,BBPIG,67,Punkt Roxheim,Großkrotzenburg,BASF,Urberach,,24,,,100,,BASF,8.40828877363479 49.528623522017185,11.71628356,380,,Errichtung einer Leitung: Neubau in neuer Trasse
P159,29459,,34001,,AC,,,,,,,,,1,2029,40,,11.71628356,3,,,,,,,,BBPIG,67,Punkt Roxheim,Uchtelfangen,BASF,Ensdorf,,34,,,100,,BASF,8.40828877363479 49.528623522017185,200.4341222,380,,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P161,29460,32221,32219,,AC,,,,,,,,,1,2028,40,,3.321064448,,,,,,,,,BBPIG,66,GroÃŸkrotzenburg,Ensdorf,Dettingen,Bundesgrenze (FR),,,GroÃŸkrotzenburg,100,60,8.958708591309906 50.0826077912028,Umspannwerk Dettingen,8.98950736865504 50.060279806392764,3.321064448,380,,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P161,29461,32219,30972,,AC,,,,,,,,,1,2028,40,,18.25571108,,,,,,,,,BBPIG,66,Dettingen,Wilhelmshaven 2,Urberach,Fedderwarden,15,,Umspannwerk Dettingen,60,57.14,8.98950736865504 50.060279806392764,Umspannwerk Urberach,8.772275034667414 49.974574340406285,18.25571108,380,,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P170,29462,32535,32815,,AC,,,,,,,,,1,,40,,18.74224287,,,,,,,,,TYNDP,244,Uchtelfangen,Wilhelmshaven 2,Ensdorf,Conneforde,,36,Umspannwerk Uchtelfangen,66.67,50,6.996454674906002 49.37541496021159,Umspannanlage Ensdorf,6.773207879811455 49.2910742139778,18.74224287,380,,"Ã„nderung oder Erweiterung einer Leitung:
Zu- oder Umbeseilung"
P170,29463,32815,,,AC,,,,,,,,,1,,40,,,,,,,,,,,TYNDP,244,Ensdorf,Eichstetten,Bundesgrenze (FR),Bundesgrenze [FR],,18,Umspannanlage Ensdorf,50,,6.773207879811455 49.2910742139778,,,182.6844341,380,,"Ã„nderung oder Erweiterung einer Leitung:
Zu- oder Umbeseilung"
P175,29464,,35036,,AC,,,,,,,,,1,2029,40,,482.8688106,6,,,,,,,,BBPIG,73,Wilhelmshaven 2,Punkt Blatzheim,Fedderwarden,Oberzier,,16,,,100,,Fedderwarden,8.063672455328268 53.55578092463257,482.8688106,380,2629.6MVA,Errichtung einer Leitung: Neubau in neuer Trasse
P175,29465,,31026,,AC,,,,,,,,,1,2029,40,,458.3077423,6,,,,,,,,BBPIG,73,Wilhelmshaven 2,Tiengen,Conneforde,Bundesgrenze (CH),,4,,,100,,Conneforde,8.052813201940419 53.33191378148668,26.54136207,380,2629.6MVA,Errichtung einer Leitung: Ersatz- neubau
P176,29466,34710,,,AC,,,,,,,,,1,2026,40,,,3,,,,,,,,BBPIG,72,Eichstetten,Herbertingen,Bundesgrenze [FR],Kreis Konstanz,,140,380-kV-Umspannwerk Eichstetten,53.66,,7.753495510341039 48.09935573343809,,,131.2340738,380,,Errichtung einer Leitung: Ersatz- neubau
P200,29467,,31332,,AC,,,,,,,,,1,2027,40,,322.2796598,6,,,,,,,,BBPIG,74,Punkt Blatzheim,Kreis Konstanz,Oberzier,Beuren,,,,,66.67,,Station Oberzier,6.457700440405455 50.87149029041084,322.2796598,380,,Errichtung einer Leitung: Ersatz- neubau
P204,29468,31716,,,AC,,,,,,,,,1,230,40,,,3,,,,,,,,TYNDP,231,Tiengen,Beuren,Bundesgrenze (CH),Gurtweil / Tiengen,,,Tiengen,100,,8.258827663264396 47.6342088867097,,,147.4967712,380,,"Errichtung einer Leitung:
Ersatzneubau"
P206,29469,31241,,,AC,,,,,,,,,1,2032,40,,,6,,,,,,,,BBPIG,23,Herbertingen,Gießen / Nord,Kreis Konstanz ,Karben,,51,Umspannwerk Herbertingen,66.67,,9.425344076806475 48.06443972503238,,,175.2102826,380,,Errichtung einer Leitung: Ersatz- neubau
P206,29470,,33333,,AC,,,,,,,,,1,2032,40,,50.96736836,6,,,,,,,,BBPIG,23,Kreis Konstanz ,Landesbergen,Beuren,Grohnde,,73,,,100,,Beuren,8.861525797588994 47.80643535471784,50.96736836,380,,Errichtung einer Leitung: Ersatz- neubau
P206,29471,33333,,,AC,,,,,,,,,1,2032,40,,,6,,,,,,,,BBPIG,23,Beuren,Grohnde,Gurtweil / Tiengen,Vörden,,57,Beuren,100,,8.861525797588994 47.80643535471784,,,590.1426941,380,,Errichtung einer Leitung: Ersatz- neubau
P211,29472,,31040,,AC,,,,,,,,,1,2031,40,,266.6112133,,,,,,,,,BBPIG,65,GieÃŸen / Nord,Vörden,Karben,Würgassen,,,,,50,,Umspannwerk Karben,8.809948917696808 50.203566664751136,266.6112133,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
