scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo
P116,29450,35359,405,,AC,0.458206719,0.051048148,0,,5400,TRUE,5400,Infinity,1,2033,40,1273.148148,5.5,6,1,2,-Infinity,Infinity,380,01020000000200000022A85324A9812240A1F3FE79B28E4A40C3D8429083462240311F5A7567694A40,01020000000200000022A85324A9812240A1F3FE79B28E4A40C3D8429083462240311F5A7567694A40
P116,29451,405,31407,,AC,3.04082641,0.338774074,0,,5400,TRUE,5400,Infinity,1,2033,40,8449.074074,36.5,6,1,2,-Infinity,Infinity,380,010200000002000000C3D8429083462240311F5A7567694A40E8D5F5D4224022406C9F51D6E5444A40,010200000002000000C3D8429083462240311F5A7567694A40E8D5F5D4224022406C9F51D6E5444A40
P116,29452,31407,31136,,AC,3.332412504,0.371259259,0,,2700,TRUE,2700,Infinity,1,2033,40,9259.259259,20,6,1,2,-Infinity,Infinity,380,010200000002000000E8D5F5D4224022406C9F51D6E5444A40CD5D4B621FE121402C93419896334A40,010200000002000000E8D5F5D4224022406C9F51D6E5444A40CD5D4B621FE121402C93419896334A40
P119,29453,31026,31472,,AC,0.741461782,0.082605185,0,,5400,TRUE,5400,Infinity,1,2033,40,2060.185185,8.9,6,1,2,-Infinity,Infinity,380,0102000000020000002543FE540A1B2040DB499A267CAA4A4062165B8E125E20402A8E3D3637A14A40,0102000000020000002543FE540A1B2040DB499A267CAA4A4062165B8E125E20402A8E3D3637A14A40
P119,29454,31472,35202,,AC,1.424606345,0.158713333,0,,5400,TRUE,5400,Infinity,1,2031,40,3958.333333,17.1,6,1,2,-Infinity,Infinity,380,01020000000200000062165B8E125E20402A8E3D3637A14A4095D4A5FE52CE20404D6FCED35A9E4A40,01020000000200000062165B8E125E20402A8E3D3637A14A4095D4A5FE52CE20404D6FCED35A9E4A40
P119,29455,35202,32281,,AC,0.499861876,0.055688889,0,,5400,TRUE,5400,Infinity,1,2031,40,1388.888889,6,6,1,2,-Infinity,Infinity,380,01020000000200000095D4A5FE52CE20404D6FCED35A9E4A40BC54C47A64D120404ADBB1F559984A40,01020000000200000095D4A5FE52CE20404D6FCED35A9E4A40BC54C47A64D120404ADBB1F559984A40
P119,29456,35202,34664,,AC,4.373791411,0.487277778,0,,5400,TRUE,5400,Infinity,1,2031,40,12152.77778,52.5,6,1,2,-Infinity,Infinity,380,01020000000200000095D4A5FE52CE20404D6FCED35A9E4A407D95034EDAA32140D7988AE6BE8D4A40,01020000000200000095D4A5FE52CE20404D6FCED35A9E4A407D95034EDAA32140D7988AE6BE8D4A40
P119,29457,34664,35359,,AC,2.774233409,0.309073333,0,,5400,TRUE,5400,Infinity,1,2031,40,7708.333333,33.3,6,1,2,-Infinity,Infinity,380,0102000000020000007D95034EDAA32140D7988AE6BE8D4A4022A85324A9812240A1F3FE79B28E4A40,0102000000020000007D95034EDAA32140D7988AE6BE8D4A4022A85324A9812240A1F3FE79B28E4A40
P124,29458,31318,31811,,AC,29.4052824,3.276,0,,1790,TRUE,1790,Infinity,1,2031,40,163407.8212,117,3,1,1,-Infinity,Infinity,380,010200000002000000A8E8C3F2C34727408E3E75646E224A40D07BA0B65B08274005734508C0CA4940,010200000002000000A8E8C3F2C34727408E3E75646E224A40D07BA0B65B08274005734508C0CA4940
P124,29459,31811,23074,,AC,5.95645464,0.6636,0,,1790,TRUE,1790,Infinity,1,2029,40,33100.55866,23.7,3,1,1,-Infinity,Infinity,380,010200000002000000D07BA0B65B08274005734508C0CA494025647B88A1682740EED11BEE23B24940,010200000002000000D07BA0B65B08274005734508C0CA494025647B88A1682740EED11BEE23B24940
P124,29460,23074,31603,,AC,3.84530616,0.4284,0,,1790,TRUE,1790,Infinity,1,2028,40,21368.71508,15.3,3,1,1,-Infinity,Infinity,380,01020000000200000025647B88A1682740EED11BEE23B2494060D482460ACA274058F17C1A09B44940,01020000000200000025647B88A1682740EED11BEE23B2494060D482460ACA274058F17C1A09B44940
P133,29461,34082,34585,,AC,6.081652819,0.677548148,0,,5400,TRUE,5400,Infinity,1,2028,40,33796.2963,73,3,1,1,-Infinity,Infinity,380,01020000000200000017BC5BF6CD8422402811B119BA874940644B48EF3350214060F6162F894D4940,01020000000200000017BC5BF6CD8422402811B119BA874940644B48EF3350214060F6162F894D4940
