scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,oldlinecode,Projekt,Projekt_id,cable/line,Maßnahme,Startpunkt,subst_name0,Endpunkt,subst_name1,Coordinate0,Coordinate1,Length type,Length,Trassenlänge in km,Trassenlänge in km.1,Spannung,NOVA-Typ,Art,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,Anmerkung,matching0%,matching1%
50HzT-P180,,,,,AC,,,,,,,,,1,2026,40,,28,,,,,,380,,,,,,cable,Marzahn – Friedrichshain – Mitte – Charlottenburg – Reuter – Teufelsbruch (cabel),Marzahn,,Friedrichshain,,13.524113150563279 52.53579367759632,13.456433133865078 52.52145796286808,Bestand,,,28,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BE,NV,,,,"2025,
2026","1: Vorbereitung Planungs- und Ge- nehmigungsverfahren, 3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,M406,,
50HzT-P180,,,,,AC,,,,,,,,,1,2030,40,,,,,,,,380,,,,,,cable,,Friedrichshain,,Mitte,,13.456433133865078 52.52145796286808,13.368653475247406 52.503147509807846,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BE,NV,,,,2030,"1: Vorbereitung Planungs- und Ge- nehmigungsverfahren, 3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,,,
50HzT-P180,,,,,AC,,,,,,,,,1,2030,40,,,,,,,,380,,,,,,cable,,Mitte,,Charlottenburg,,13.368653475247406 52.503147509807846,13.315515912071856 52.52199939367935,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BE,NV,,,,2030,"1: Vorbereitung Planungs- und Ge- nehmigungsverfahren, 3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,,,
50HzT-P180,,,,,AC,,,,,,,,,1,2030,40,,,,,,,,380,,,,,,cable,,Charlottenburg,,Reuter,,13.315515912071856 52.52199939367935,13.249030342808782 52.53162510010523,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BE,NV,,,,2030,"1: Vorbereitung Planungs- und Ge- nehmigungsverfahren, 3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,,,
50HzT-P180,,,,,AC,,,,,,,,,1,2030,40,,,,,,,,,,,,,,cable,,Reuter,,Teufelsbruch,,13.249030342808782 52.53162510010523,13.211527686000428 52.58062783766221,Bestand,,,*,,,,,,,,,2030,,,,,,,
50HzT-P213,,,,,AC,,,,,,,,,1,,40,,8,6,,2,,,380,,,,EnLAG,12,line,Interkonnektor DE – PL,Eisenhüttenstadt,,punkt Deutsch-Polnischen,,14.603938187245118 52.174864548479,18.902232738057837 51.57212911875295,Ausbau,,8,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,BB,,x,,EnLAG Nr. 12,,2: Im ROV/BFP,,,,double line,,
50HzT-P213,,,,,AC,,,,,,,,,1,2035,40,,7,,,,,,380,,,,EnLAG,12,line,Einschleifung Eisenhüttenstadt,Eisenhüttenstadt,,Leitung Preilack – Neuenhagen,,14.603938187245118 52.174864548479,14.511141400000001 52.161618600000004,Ausbau,,7,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,BB,,,,EnLAG Nr. 12,2035,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
50HzT-P221,,,,,DC,,,,,700,,,,1,2035,40,,60,,,1,,,,,,,BBP,69,cable,DC-Kabel Hansa PowerBridge (HPB,Umspannwerk Güstrow,,Punkt Bridge (HPB),,12.18580202996256 53.81602837061954,16.277634034498558 61.35776074926747,Ausbau,,60,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,MV,,x,,BBP Nr. 69,2035,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,"HVDC, startpoint from Hansabridge I: Umspannwerk güstrow",,
50HzT-P450,,,,,AC,,,,,,,,,1,2024,40,,89,,,,,,,,,,BBP,61,line,Ragow – Streumen,Ragow,,Streumen,,13.901128357714425 51.87617291731876,13.38336317738044 51.355589851528315,Bestand,,,89,,horizontal,Leitung,"BB, SN",NO,,,BBP Nr. 61,2024,4: Genehmigt oder im Bau,,,,,,
AMP-001,,,,,AC,,,,,2700,,,,1,2022,40,,33,,,,,,380,,,,EnLAG,2,line,Wehrendorf – St. Hülfe,Wehrendorf,,Punkt Lemförde,,8.307757038447726 52.34563570215149,8.37266130421446 52.47441724607989,Bestand,,,33,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,,,EnLAG Nr. 2,2022,4: Genehmigt oder im Bau,,,,4000A,,
