bus_id,lon,lat,point,polygon,voltage,power_type,substation,osm_id,osm_www,frequency,subst_name,ref,operator,dbahn,status
30887,6.85169033318656,50.98414694486755,0101000020E6100000276CBD8221681B400C55EF86F87D4940,0103000020E6100000010000000D000000B79965AABB651B4045223FFFF37D49401720764B17671B405E0EBB1DE17D4940FCFF3861C2681B4087A0F3EDC97D49400F98874CF9681B40F4D2E787C77D4940493F863364691B40886CDCDAD37D4940A352EC681C6A1B40DDA59BF2E87D4940649B0AA7BB691B40058821B1EE7D4940C0AC50A4FB691B4001899DB2F57D49408E3D2075E0691B408D94B520007E4940B2EF2F270D6A1B4006B715DF067E49408B6665FB90671B401A6452162A7E4940D56BC4DD6A671B40340FFEBD257E4940B79965AABB651B4045223FFFF37D4940,220000;110000,substation,transmission,w22690852,http://www.osm.org/way/22690852,50,Umspannwerk Bocklemünd,NA,NA,no,2
30889,9.984058791561045,53.74147911149971,0101000020E61000002331CE8DD6F7234079479BC9E8DE4A40,0103000020E6100000010000000E000000C808032A77F62340750B3910A3DE4A407536E49F19F82340A3D13DFB91DE4A4074C0649934F823407F43121791DE4A4015FE0C6FD6F823409BA7F57DEEDE4A40DB8AFD65F7F823402C34E26D00DF4A40CA564DC6E7F82340A364440D01DF4A407F9AA443F1F823405C58E72807DF4A4071C394EDE8F823407A29DB8607DF4A4023658BA4DDF823406EA9330708DF4A40BA6070CD1DF923401E4B6FD932DF4A40D47ABFD18EF723401624F5AE41DF4A40086B63EC84F7234036F5E80C42DF4A408801B7932DF723407FC2C25911DF4A40C808032A77F62340750B3910A3DE4A40,380000;220000,substation,transmission,w22720647,http://www.osm.org/way/22720647,50,Hamburg Nord,NA,50Hertz Transmission,no,2
30893,6.934911668116749,51.03353192133852,0101000020E61000004AD7FC7B59BD1B40B0C224C64A844940,0103000020E6100000010000000A0000007AC6191E56BB1B40195890B64C8449405CC98E8D40BC1B409045C4D33C844940BFF968CC7FBB1B408BB638692B8449409FF0C80EE0BB1B40EBA3500B25844940AFC513E6E2BC1B40BA4D602F14844940323DBC427ABD1B4036E6BC05238449405498ADABB8BF1B4059DFBC2D5884494083386AE0A2BE1B402CD14FD268844940F16D0BE077BD1B4036F7FD907E8449407AC6191E56BB1B40195890B64C844940,220000;110000,substation,NA,w22761692,http://www.osm.org/way/22761692,50,UW Fühlingen,NA,RheinEnergie,no,2
30895,6.965538620656629,51.0699302797616,0101000020E61000000EFBFA27B6DC1B40C149B479F3884940,0103000020E610000001000000190000003A735996F9D81B404A9BFAA13E8949408D1F2A8D98D91B40BC3AD9D31F89494030EBC5504EDC1B402F6F1646D5884940B7F3B3475EDC1B405337C434D388494042AFE4CF5CDC1B4020865E96D188494023EEB1F4A1DB1B402ADF74E2CD8849401650036102DA1B403F7048BAC1884940783B67B04EDA1B40FE5F2E54B4884940CE7E49CF99D91B401274B7A7AB884940504FC4C7CCDA1B402546287288884940FB6074D42CDB1B4048E88DAA818849404B60843AF6DD1B40A2ABE936A8884940E4E20396B7DE1B403CD129DF8E8849409B502DC7D0DE1B40B4B9D40E90884940199B0C7D66DF1B40393CFF8D98884940E215D22BAFDE1B40CCF50324AB88494072BA2C2636DF1B4078CA12FEB18849402B82FFAD64DF1B4071495585BC884940C07F4E9C37E11B40C5B823B3D58849408858B3846BDC1B4049A247A35D894940FAB31F2922DB1B4044E68B1E6489494021D62CE11AD91B40D38B24474B8949407D1D386744D91B40184C244344894940413E8D203AD91B409603AF52418949403A735996F9D81B404A9BFAA13E894940,380000;220000;110000,substation,transmission,w22761839,http://www.osm.org/way/22761839,NA,Station Opladen,NA,RWE,no,2
30899,6.975929827387434,51.03760250376897,0101000020E6100000A2470F265AE71B40BDF7A928D0844940,0103000020E6100000010000000700000084239232F3E61B40729B42EDC884494039E576D43DE71B40BC818A9FC68449407808E3A771E71B40C4CDE787C78449408B9C2A847AE71B40F6D58278C984494048CB924AC2E71B405B3249C6D68449401AF1AEC44DE71B40B10F7E8DDA84494084239232F3E61B40729B42EDC8844940,220000;110000,substation,transmission,w22764922,http://www.osm.org/way/22764922,NA,Station Dhünnaue,NA,NA,no,2
30901,6.842650702727905,50.863538522235274,0101000020E6100000CCAB68D3DF5E1B4018EB276E886E4940,0103000020E6100000010000000F00000036983C54095D1B4040599D758D6E4940D1AD7C3B2E5F1B407DDF4E56676E4940A06D35EB8C5F1B40437F191B706E4940F5609C09975F1B405CDB8C626F6E49404BD18030A65F1B408474DFAF6E6E49407E6ABC7493601B403D400E23846E4940A0CCF56C0C601B40DDEF50488D6E4940BEA4E7CC2C601B40A3E97AD6906E4940680DEF833D5F1B40EE3ACBBBA06E49409B6E23AF185F1B40464A859B9D6E4940422FEDE5885E1B40DC792041A76E4940D0EFFB372F5E1B401372C14DA16E4940D4BA0D6ABF5D1B4001A540E4996E494051BAF42F495D1B40D1AAA7D4916E494036983C54095D1B4040599D758D6E4940,380000;110000,substation,transmission,w22765517,http://www.osm.org/way/22765517,NA,Station Knapsack,NA,Amprion,no,2
30904,6.972459875900362,50.79563726078529,0101000020E610000037A88E85CCE31B40A3461771D7654940,0103000020E610000001000000120000009BF9D51C20E01B40716B5C00D065494089E6A6727FE21B4087C737268B654940356ED685C4E21B40B26D765B8E654940468D093197E41B409A595310A8654940B08394E9E1E51B4067F186EBBD654940CD812F9633E51B40FE5B5321D4654940B8F880E5ADE71B40DD56E13CF76549404CD41C6A25E61B40BD6020BF23664940459B3E9699E51B40E826092F1C664940B086302361E41B40D1E4D42A0B664940C93EC8B260E21B406CF7F077EF654940BF907AF42BE21B40829C9730F56549405BD9F45613E21B402095A7BEF36549404189851046E21B40B61FB826EE654940FCEF77DE7CE11B40692D9A85E2654940BDAE152301E11B40C42FCE85EC6549409931BBDD81E01B40AE97E030E26549409BF9D51C20E01B40716B5C00D0654940,380000;220000;110000,substation,transmission,w22766160,http://www.osm.org/way/22766160,NA,Station Sechtem,NA,RWE,no,2
31033,9.917180765726243,52.27818419770801,0101000020E610000000A1A2B798D52340BFB52F8A9B234A40,0103000020E6100000010000000A0000009E1FEB4E1CD52340E87F18EC97234A409F51BAF42FD52340B2E0272389234A404B4A8B44B2D5234024332C008D234A40124DFB41B8D523408A9C782D8D234A408B5EFC23C2D52340A23A6B718D234A4055D4056113D62340FF22C7A18F234A40CF786C150ED62340CEB68788AC234A40DFB2F96EA9D5234020F8AA05AC234A40E53B42171ED52340CEF78A83A6234A409E1FEB4E1CD52340E87F18EC97234A40,380000;110000,substation,transmission,w23899043,http://www.osm.org/way/23899043,50,Algermissen,ALGE,TenneT;Avacon Netz GmbH,no,2
30906,7.1924101684630415,50.798900164895514,0101000020E6100000D0DDD32B07C51C40647F505C42664940,0103000020E61000000100000026000000EB8E20F01BC21C40FACD0DF34066494031DBA91496C31C40DB31ADA93D664940CA90BEA48CC31C4045AEEAAD376649406DDF484508C41C4079F5F69E366649407F8978EBFCC31C40F8FC028C2E664940ECE588C624C51C409E47A8752C6649402234CC1A06C51C40BDC81B610766494067C4BB1237C51C40CB4EFB5305664940D2C9F7318BC51C40526799A102664940DBD5F55503C61C40A3382BFE0066494006A3EDF373C61C4002B72D8100664940473CD9CD8CC61C40E9A271A900664940A619411999C61C407843B468016649400EA4E6069EC61C402287D861026649404369B97DA0C61C40C9C540E90B6649400207A348ADC61C40471537CA0B6649409A6A1CA0EAC61C407D148C4B0B6649408813984EEBC61C405B7FDF760D664940761ECB715DC71C40796A78200D6649406CA45B655CC71C40F4D429460266494016951E9782C71C40E0974A400266494041086DDEDDC71C40B8189D3E026649404CEF7618EEC71C402A6C1D1D0D66494094E2F43F0AC81C4048EDC2211B664940EE35F39A0DC81C409023253E2D664940DAEF3FE88FC71C401365193E336649402BB0B618F2C61C40A759B6D738664940B29BBE43F6C61C40F503EA843C664940668F615FFCC61C40D8FEDE134666494096206D2DDDC61C40B968E9C1496649404945BEA662C61C40D056C3EB55664940E7525C55F6C51C40909431F55F66494065E76D6C76C41C402EA8C8D875664940714E91E80AC31C40CD573E8287664940829A1029BCC21C407EB4BE49896649408E13701981C21C4070A47566826649404760AC6F60C21C40DD1EEEEB76664940EB8E20F01BC21C40FACD0DF340664940,220000;110000,substation,transmission,w22767509,http://www.osm.org/way/22767509,NA,Station Siegburg,NA,RWE,no,2
30912,7.095822741107271,50.82688896095869,0101000020E610000041134D5B1F621C40D95E5A7FD7694940,0103000020E6100000010000000B0000003F4750A15F601C406CFB0F67EA69494040F163CC5D631C4069BF96C4B4694940A998EF856E631C40F0E420FAB5694940916456EF70631C4004DA4890B6694940D1C77C40A0631C406492CD1DB3694940CC68F51FE3631C40B051B720B6694940D60D25A47F631C4028A9DD77C269494099B6DA1E18631C4068C078CECC69494005FC7502F5611C40756F4700ED694940C88855CDBD611C4045A3261DF66949403F4750A15F601C406CFB0F67EA694940,220000;110000,substation,transmission,w22796434,http://www.osm.org/way/22796434,NA,Station Stockem,NA,Westnetz,no,2
