bus_id,lon,lat,point,polygon,voltage,power_type,substation,osm_id,osm_www,frequency,subst_name,ref,operator,dbahn,status
32870,8.81578615209349,48.3779433513765,0101000020E6100000DE8AF7B8AEA121408CF39E7260304840,0103000020E6100000010000000500000093E645DC52A12140660C08EF613048409759DF1B9EA12140768611F3513048403C13F5DD08A221405F5019E65F304840BF23CF9AC4A121402F909B6D6E30484093E645DC52A12140660C08EF61304840,110000,substation,NA,w87623142,http://www.osm.org/way/87623142,NA,NA,NA,NA,no,1
35655,6.2546056,51.30110929920073,0101000020E61000008A839554B7041940584BE0BF8AA64940,0101000020E61000008A839554B7041940584BE0BF8AA64940,110000,substation,transmission,n5979640473,http://www.osm.org/node/5979640473,NA,Station Breyell,NA,Westnetz / RWE,no,3
31900,10.878328643857484,48.64603437640706,0101000020E61000000F04C14AB4C125404A612341B1524840,0103000020E610000001000000050000006E0E7CB19CC125403A5991B7B7524840C68157CB9DC12540BAB50D78AA5248409378D4F3C9C125402524499BAA5248404417D4B7CCC12540A5C7CCDAB75248406E0E7CB19CC125403A5991B7B7524840,110000,substation,NA,w34640770,http://www.osm.org/way/34640770,NA,NA,NA,NA,no,1
33240,10.154722399999997,48.0518317499253,0101000020E6100000D0EA3FC6374F24406C693B6CA2064840,0103000020E6100000010000000500000074498BE9F84E24409B04AEF1990648402E641AF2744F2440BCEF469B990648402E8CF4A2764F24403CCEC8E6AA0648407471659AFA4E24401DE32F3DAB06484074498BE9F84E24409B04AEF199064840,110000,substation,NA,w96241893,http://www.osm.org/way/96241893,NA,NA,NA,NA,no,1
30864,8.735135796743075,50.159191553758134,0101000020E6100000C5421AB86378214066988A6360144940,0103000020E6100000010000000F000000F3A15577767721404A940A9986144940AB2C65749B77214073AA0EDE68144940AF415F7AFB77214019F05F342B144940397B67B455792140AFEA67C537144940F3BB9F0903792140CA8DAE9C73144940227F7A7DF7782140DBF805CF84144940566F1E98ED78214050E7E87184144940935CB4B6DF7821409C231DF9831449401629DE12CA7821402C32926291144940F2E2699EC8782140F0B78457921449406079EB5795782140864949349214494095F0DF17F2772140C7F657599114494050E56A1ACA772140869881948E14494093AC1E8BC8772140A94D0B288A144940F3A15577767721404A940A9986144940,220000;110000,substation,transmission,w4826893,http://www.osm.org/way/4826893,NA,Umspannwerk Frankfurt Nord,NA,TenneT TSO GmbH;Mainova,no,1
30891,6.934911668116749,51.03353192133852,0101000020E61000004AD7FC7B59BD1B40B0C224C64A844940,0103000020E6100000010000000A0000007AC6191E56BB1B40195890B64C8449405CC98E8D40BC1B409045C4D33C844940BFF968CC7FBB1B408BB638692B8449409FF0C80EE0BB1B40EBA3500B25844940AFC513E6E2BC1B40BA4D602F14844940323DBC427ABD1B4036E6BC05238449405498ADABB8BF1B4059DFBC2D5884494083386AE0A2BE1B402CD14FD268844940F16D0BE077BD1B4036F7FD907E8449407AC6191E56BB1B40195890B64C844940,220000;110000,substation,NA,w22761692,http://www.osm.org/way/22761692,50,UW Fühlingen,NA,RheinEnergie,no,1
30866,11.639339068563299,48.17869599545106,0101000020E6100000A6114D7357472740B931A882DF164840,0103000020E61000000100000015000000D66D50FBAD452740D8F7199E03174840FA5289FC4447274059CC8C4FB71648404E4B0746B947274034C97A4CA41648408B608841054827405D4971CBA2164840A07C8B98234927402B820BEFCD1648402CDED9684A482740C7FC538CF3164840868D57C5C0472740803D0481DF1648403857DE9F9C462740AED3AD6F16174840EF78495288462740F672872F13174840051D63DD2E462740FF20A7DB231748408D0B62FB24462740D445D59123174840AAE7493E1B4627406DF0F53C2417484059B917981546274081CB7887251748400AABC2B00D4627400162DD5A2617484073CCC353D94527404F8928081E1748404D5F741EBA452740569BD061191748407E37386CB64527407A01229518174840F69BE4A2B5452740B3482E8617174840A20D1BC0B6452740130FE878161748407642435ABE452740C316C5E814174840D66D50FBAD452740D8F7199E03174840,380000;110000,substation,transmission,w5404079,http://www.osm.org/way/5404079,50,Hauptumspannwerk Föhring,NA,NA,no,1
35758,13.3166321,52.44041729909013,0101000020E610000044BA449A1DA22A40A61714985F384A40,0101000020E610000044BA449A1DA22A40A61714985F384A40,110000,substation,NA,n2092775605,http://www.osm.org/node/2092775605,50,Umspannwerk Klinikum Steglitz,NA,Klinikum Steglitz,no,3
30868,8.989197089558324,48.71401311683152,0101000020E61000001CE7790A78FA21406BDA24C8645B4840,0103000020E61000000100000007000000B2CE424CD3F92140DE443DA76A5B4840C1BA3B7CE3F9214087ECE94D565B48409DEBA0B71DFB2140026A25D75E5B4840C594A35B0AFB2140F9E75165735B4840B47DD98706FB2140A5BBE43D735B484048C7308221FA214064AC46D96C5B4840B2CE424CD3F92140DE443DA76A5B4840,110000,substation,distribution,w5544326,http://www.osm.org/way/5544326,50,Umspannwerk Sindelfingen,NA,NA,no,1
30869,8.607809037100278,50.19246249453518,0101000020E61000002E1E01BF323721401ADE6B9CA2184940,0103000020E6100000010000000C000000187CF54C8A362140C9FA1C55A81849403C191C25AF362140804E24299F184940CFC76B1448372140BBEA3AE5871849400D49772167372140CB00BC3B8D184940A08037EEDE3721403DF701D9A1184940C93505323B37214024BB04DDB9184940E07C8F9F3237214075E8BA81B8184940E87981A32E372140015BEB1CB9184940DEAF5D352A3721406E816FD0B91849401AFB928D07372140B183EEC8B31849409DD5A7C1D9362140024EFF34B5184940187CF54C8A362140C9FA1C55A8184940,110000,substation,NA,w8102562,http://www.osm.org/way/8102562,NA,Umspannwerk Bommersheim,NA,RWE,no,1
