scn_name,bus_id,v_nom,type,carrier,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,x,y,geom,country
50HzT-P221,77500,1,,DC,1,0,Infinity,16.27763403,61.35776075,0101000020E6100000ED585489133925402193689BAAE34740,SN
TTG-P25,77501,1,,AC,1,0,Infinity,8.910507,54.903755,0101000020E6100000ED585489133925402193689BAAE34740,DK
TTG-P67,77502,1,,AC,1,0,Infinity,13.060147,48.272481,0101000020E6100000ED585489133925402193689BAAE34740,AU
P74,77503,1,,AC,1,0,Infinity,10.656506,47.559332,0101000020E6100000ED585489133925402193689BAAE34740,AU
P112,77504,1,,AC,1,0,Infinity,8.651358527,54.30547484,0101000020E6100000ED585489133925402193689BAAE34740,DE
P170,77505,1,,AC,1,0,Infinity,6.666833,49.2703,0101000020E6100000ED585489133925402193689BAAE34740,FR
P176,77506,1,,AC,1,0,Infinity,7.555059,47.906769,0101000020E6100000ED585489133925402193689BAAE34740,FR
P204,77507,1,,AC,1,0,Infinity,8.23211,47.561637,0101000020E6100000ED585489133925402193689BAAE34740,SW
P328,77508,1,,DC,1,0,Infinity,0.705413,51.537907,0101000020E6100000ED585489133925402193689BAAE34740,EN
P367,77509,1,,AC,1,0,Infinity,6.820347,53.451461,0101000020E6100000ED585489133925402193689BAAE34740,NL
P505,77510,1,,AC,1,0,Infinity,6.17668,49.9538,0101000020E6100000ED585489133925402193689BAAE34740,LX
